Component,Inertia (%),Cumulative Inertia (%)
F1,48.53155521251284,48.53155521251284
F2,12.962922468841557,61.4944776813544
F3,12.448973830098629,73.94345151145302
F4,10.142679534603099,84.08613104605612
F5,6.058349504978007,90.14448055103414
