zone;continent;year;decade;Brevpct_nb;Brevtech_nb;Brevtic_nb;Brevtriad_%brev;Brevtriad_nb;CBPRD_$;CBPRDciv_%cbprd;CBPRDdef_%cbprd;CBPRDdeveco_%cbprdciv;CBPRDenssoc_%cbprdciv;CBPRDrechnonor_%cbprdciv;CBPRDsantenv_%cbprdciv;CBPRDspace_%cbprdciv;CBPRDuniv_%cbprdciv;Cher_nb;DIRDES_$;DIRDES_%dird;DIRDES_%pib;DIRDEScher_%cher;DIRDEScher_etp;DIRDEScher_nb;DIRDEScherfme_%cher;DIRDEScherfme_nb;DIRDESentr_%dirdes;DIRDESper_etp;DIRDESpers_%pers;DIRDET_$;DIRDET_%dird;DIRDET_%pib;DIRDETcher_%cher;DIRDETcher_etp;DIRDETcher_nb;DIRDETcherfme_%cher;DIRDETcherfme_nb;DIRDETentr_%dirdet;DIRDETper_etp;DIRDETpers_%pers;DIRDE_$;DIRDE_%dird;DIRDE_%pib;DIRDEaero_%dirde;DIRDEcher_%cher;DIRDEcher_etp;DIRDEcher_nb;DIRDEcherfme_%cher;DIRDEcherfme_nb;DIRDEelec_%dirde;DIRDEensup_%dirde;DIRDEentr_$;DIRDEentr_%dirde;DIRDEgov_%dirde;DIRDEmanuf_%dirde;DIRDEper_etp;DIRDEpers_%pers;DIRDEpharma_%dirde;DIRDErm_%dirde;DIRDEserv_%dirde;DIRDEtic_%dirde;DIRDISBL_%dird;DIRD_$;DIRD_$pers;DIRD_%pib;DIRDciv_%pib;DIRDensup_$;DIRDensup_%dird;DIRDensup_%pib;DIRDentr_$;DIRDentr_%dird;DIRDentr_%pib;DIRDgov_$;DIRDgov_%dird;DIRDgov_%pib;DIRDrm_$;DIRDrm_%dird;DIRDrm_%pib;Empltot_nb;Exportaero_%export;Exportelec_%export;Exportpharma_%export;PIB_ind;PPA_$;Pop_nb;RDcher_1kemp;RDcher_etp;RDcherfme_%cher;RDcherfme_nb;RDpers_1kemp;RDpers_etp;Rechfond_%pib
Afrique du Sud;Africa;1991;1990;-0.2587838998439241;-0.2987687913867648;-0.24758690314153933;-0.3329887880542301;-0.32972707240588406;;;;;;;;;;-0.46434512303740394;-0.45104505704999487;0.058243798625470085;-0.7924793793267928;;;;;;;;;-0.34632029645619444;0.7455109756012435;-0.2024157735931774;;;;;;;;;-0.32876903150189307;-0.5611693229669827;-0.8250929265754373;;;;;;;;;;;;;;;;;;;-0.14686256781620582;-0.34166505125760066;-0.8998351524769276;-0.8891249050828695;;;;;;;;;;;;;;;;;;-0.9933530421955649;-0.29510120888055663;-0.12604629255093888;;-0.42957348822276264;;;;-0.3467607245330965;
Afrique du Sud;Africa;1992;1990;-0.26049765750781023;-0.29862654216558693;-0.24706727467988662;-0.32457949172624984;-0.3245687678621409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.962086702668737;-0.2941527373400978;-0.12175511454533117;;;;;;;
Afrique du Sud;Africa;1993;1990;-0.25951834642997285;-0.29587889672643175;-0.24771680051367528;-0.3265745270410898;-0.32551358948035025;;;;;;;;;;-0.4837844754774057;-0.49596676498745834;-0.6751963816519391;-1.281503617726293;;;;;;;;;-0.36044405508599114;1.096554347896722;-0.4710700487266355;;;;;;;;;-0.333315401561166;-0.2661389864231427;-0.9094999759719729;;;;;;;;;;;;;;;;;;;-0.2197729603826398;-0.350720381973802;-0.9263648791249451;-1.099251564769296;;;;;;;;;;;;;;;;;;-0.930165372527461;-0.2932457921111404;-0.11741185629411552;;-0.43320998533428084;;;;-0.35162436979228245;
Afrique du Sud;Africa;1994;1990;-0.25853903535213546;-0.2934928678108922;-0.24719717205202255;-0.3331834937207084;-0.329411353796397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.20488196016830723;;;;-0.9029055451503367;-0.2925199569154308;-0.11303715507460961;;;;;;;
Afrique du Sud;Africa;1995;1990;-0.25070498739738784;-0.2893833050069892;-0.24664504001750415;-0.3322473945693348;-0.32804987564824045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.20359736071795514;;;;-0.8698398164756616;-0.2916310045655112;-0.10866383485745434;;;;;;;
Afrique du Sud;Africa;1996;1990;-0.25951834642997285;-0.28758487470084;-0.24628781250085308;-0.3307101551269634;-0.3259947035591081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.19175129539487915;-0.33571337117864497;-0.46491096271199117;-0.5730228916761232;-0.8427142308006442;-0.29094570504048445;-0.10433846785651439;;;;;;;
Afrique du Sud;Africa;1997;1990;-0.25266346266374545;-0.28059696486595936;-0.2432998611568548;-0.33017567732860004;-0.3247967535120208;;;;;;;;;;;-0.4993063282910732;-1.0061658963082314;-1.395828440461487;;;;;;;;;-0.3463642367259054;1.2978767199753143;-0.40018975472432605;;;;;;;;;-0.3304583884176083;-0.11386847372253513;-0.901047756446619;;;;;;;;;;;;;;;;;;;-0.44653363073594937;-0.3480054329326302;-0.9190005250765456;-1.1122420837487557;;;;;;;;;;;;;;-0.1925201166256031;-0.3186199345265257;-0.4623614458956456;-0.5702546421449165;-0.8129902569491412;-0.2901919254241456;-0.1000312003480094;-1.526773492644928;-0.4408108063013958;;;-1.6228184819177898;-0.3546128558662597;
Afrique du Sud;Africa;1998;1990;-0.249480958717079;-0.2615696849418046;-0.23732399744196722;-0.3291896900643248;-0.32327171391693416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.19088127628454282;-0.3294866585124215;-0.46132687751447904;-0.5686756640939057;-0.7810917377102333;-0.2893181328056358;-0.09581943503715519;;;;;;;
Afrique du Sud;Africa;1999;1990;-0.2546464684460771;-0.246556900707708;-0.22903215672762622;-0.33327416807058624;-0.3265187004147776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.18132637607353191;-0.327538943694414;-0.4612788472984093;-0.574244972653328;-0.7516838407432207;-0.2885849437021575;-0.09175249176262433;;;;;;;
Afrique du Sud;Africa;2000;2000;-0.24803644917163833;-0.2476052873836882;-0.22470411503232454;-0.32812761370729826;-0.31886719255522045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.16437844039815683;-0.31457219415998716;-0.4644727417335579;-0.5672885189893524;-0.7097856801691191;-0.287616545035073;-0.08786991416596322;;;;;;;
