zone;continent;year;decade;INPUT_EXPENDITURE_R&D;INPUT_GOV_BUDGET_R&D;INPUT_HUMAN_R&D;INPUT_SECTORAL_R&D;OUTPUT_PATENTS;OUTPUT_TRADE_EXPORTS;MACRO_GDP;MACRO_EMPLOYMENT
Afrique du Sud;Africa;2006;2000;-1.793218733485338;-0.47838982488269055;-1.5891965012321527;-0.7104183539131198;-0.5834217730617218;-0.534783816076722;-0.49601233018282237;-0.11404815745700735
Afrique du Sud;Africa;2007;2000;-1.8927609756415638;-0.4783898928738425;-1.6504253913276448;-0.9509737228226813;-0.5853381909241605;-0.539006191811106;-0.4506456910403291;-0.11132257369603846
Afrique du Sud;Africa;2008;2000;-1.8420320404653516;-0.47838988771688196;-1.6271559366656574;-0.7091311634923225;-0.5797360902222916;-0.5364475177844452;-0.40381332445608287;-0.10113199748412209
Afrique du Sud;Africa;2009;2000;-2.040454196466034;-0.4783898904641697;-1.716183162005321;-0.721620528851614;-0.5971121666824989;-0.5522510091199471;-0.3478472043305514;-0.10116783218072906
Afrique du Sud;Africa;2010;2010;-2.2806127818225943;-0.47838999503359725;-1.9921284857927224;-0.8523303860386514;-0.5969070082088729;-0.5390248526993976;-0.3049671916342996;-0.10126014436433907
Afrique du Sud;Africa;2011;2010;-2.320255824166305;-0.47838999501440943;-2.1271669368591337;-0.8399863524227047;-0.5923071150273348;-0.535357969926399;-0.2640192267280069;-0.09676789435627184
Afrique du Sud;Africa;2012;2010;-2.4069229605034637;-0.47839001281808013;-2.141394927643608;-0.567352566517671;-0.5899637245513417;-0.5361917899200105;-0.22674018307931817;-0.09175164286880587
Afrique du Sud;Africa;2013;2010;-2.3196946512882075;-0.47838999899728785;-2.1819931601960376;-0.5366244157507107;-0.591650238574809;-0.5380693335401443;-0.17899755348180205;-0.0861226388419989
Afrique du Sud;Africa;2014;2010;-2.2504213316118924;-0.4783900005657299;-2.1089734558877002;-0.4774328664620374;-0.5901433696952859;-0.5334813651591952;-0.13223650230792383;-0.08150397520155478
Afrique du Sud;Africa;2015;2010;-2.284960262668008;-0.4783900398518406;-2.194925469237215;-0.45456805937996114;-0.5982859431979691;-0.5357998186523016;-0.08150453976406498;-0.07476732653910513
Afrique du Sud;Africa;2016;2010;-2.282597459028884;-0.47838999970064777;-2.188507556520788;-0.29740004123624025;-0.5979472775630486;-0.539051145270135;-0.014380791145219502;-0.07165619944909807
Afrique du Sud;Africa;2017;2010;-2.265241906702411;-0.47838992767976246;-2.150747639491901;0.7131676484863716;-0.6016662723661326;-0.544440142035287;0.042085413100202695;-0.06627783828460601
Afrique du Sud;Africa;2018;2010;-2.475348840709317;-0.4783899745056976;-2.277245875849469;0.7932530181675401;-0.5998419910477216;-0.5507378255672929;0.08645012735595126;-0.06203477034663399
Afrique du Sud;Africa;2019;2010;-3.0616592319204394;-0.4783900047543831;-2.4490284587583995;-0.6208012368263466;-0.6144584090928938;-0.5494796235935501;0.1385208063399373;-0.05955833410897642
Afrique du Sud;Africa;2020;2020;-3.1309945664571055;-0.478389973890272;-2.4119983095142628;-0.6506629626864379;-0.6047113368918113;-0.5524220324108257;0.20189926357845367;-0.06528438250588635
Afrique du Sud;Africa;2021;2020;-2.893052438307998;-0.47839004815228275;-2.3802994742684036;-1.0980094097170654;-0.606582193885038;-0.5482154833914673;0.2824964527046315;-0.06493770816467674
Afrique du Sud;Africa;2022;2020;-2.8767583900435354;-0.4783899793509218;-2.3820189509446377;-1.1339719015222711;-0.6109873433831045;-0.5480201303058481;0.347097777918095;-0.056511664059390704
Afrique du Sud;Africa;2023;2020;-0.59716481085874;-0.4783899112630503;-0.6119482228828532;0.17857681491801855;-0.6086865033266171;-0.4512600868744313;0.4132598319535268;-0.04744447714300152
Afrique du Sud;Africa;2024;2020;-0.5971648512605572;-0.4783899457554156;-0.6119482702521607;0.17857682663755323;-0.6086865326999563;-0.4512601191932718;0.4688579154253726;-0.02015693596558993
Allemagne;Europe;1981;1980;2.16094298011804;0.46098719709584335;2.1633176318922005;1.3247636788984785;0.915473493717305;-0.45126019983254284;-0.43158022771739357;0.030436071851893984
Allemagne;Europe;1982;1980;1.9689571084272353;0.44947842340416805;1.4222579074372244;1.166590587414108;0.9126541917544879;-0.4512601867599845;-0.40344262440556483;0.02886724593866881
Allemagne;Europe;1983;1980;2.0305350293465163;0.6209657758969218;1.0573583072428514;1.3904870184301779;0.9353232343039385;-0.45126016994771767;-0.38540915532697373;0.026403101515860124
Allemagne;Europe;1984;1980;2.090776832148766;0.6565254532311467;1.1843127752221887;1.3255996116133326;0.9687224021712986;-0.45126015160005434;-0.3723054407791038;0.02698756376617142
Allemagne;Europe;1985;1980;2.435278917934122;0.8602650155595054;1.2416070644325077;1.512648375471685;1.0072911454843012;-0.45126012910647817;-0.3580027450918834;0.028928764133372288
Allemagne;Europe;1986;1980;2.5557308974961384;0.9257080637734584;1.24239003832577;1.5118488309416254;1.0198617370356922;-0.4512601603794082;-0.33729087622725623;0.032589307461532116
Allemagne;Europe;1987;1980;2.8028426445877295;1.0706530727592927;2.1643299388443165;2.0632724131786575;1.0860027579667297;-0.4512600986516086;-0.3282498273175395;0.035226165309734055
Allemagne;Europe;1988;1980;2.8670017184155463;1.0639515528537646;1.5574507228350325;1.9892911374153537;1.1311759100344267;-0.4512601697608191;-0.3161610093367426;0.03934106522023968
Allemagne;Europe;1989;1980;2.919342561945596;1.1187291957837602;1.4397196681697977;1.9751392943904311;1.1218724025062632;-0.4512600938741191;-0.29514593389734933;0.04528344449415538
Allemagne;Europe;1990;1990;2.808134357115395;1.2273081795099863;1.5245444130393562;1.9622989499688626;1.0513969940268957;-0.451260115551118;-0.2696065387544036;0.05599709563115837
Allemagne;Europe;1991;1990;3.1613225341475335;1.0290513406754018;3.799799615984386;2.3295146664510025;1.0270513417233236;2.453468749806813;-0.24562087087694395;0.1761753756823978
Allemagne;Europe;1992;1990;2.5296160378282893;1.0074928078783922;1.665416120627615;2.1187508053000577;1.1298946528721137;2.642761593130451;-0.20293514201579566;0.17482858798725956
Allemagne;Europe;1993;1990;2.270691366185151;0.8241222472963257;1.971833796686672;2.1528560918566857;1.2245475848652636;2.6321020603865506;-0.1709185394961076;0.17326270890960008
Allemagne;Europe;1994;1990;2.110547544890343;0.7675666916779109;1.5548099920421599;2.1530889616669615;1.4007958331255683;2.6353941458592547;-0.1538944448109303;0.17414136621576462
Allemagne;Europe;1995;1990;2.1553731557578546;0.7569662869603823;1.540313868347843;2.170656322268438;1.6134599721064276;2.6875058166308565;-0.13750294253283746;0.175849872825264
Allemagne;Europe;1996;1990;2.161135274835306;0.8350542277739009;1.5574343279349168;2.1410654846444688;1.980053727828111;3.7055865799841565;-0.1333226889786966;0.1765631562702398
Allemagne;Europe;1997;1990;2.3228993514564995;0.7309648218748601;1.678272010485153;2.1246289968348417;2.167090041714845;3.800519024343103;-0.13200262215209627;0.1766201434666823
Allemagne;Europe;1998;1990;2.428233764960366;0.6419118855063306;1.7377095226738566;2.1901266865417006;2.474213221554112;4.072828597621745;-0.1256868933380306;0.1793778773129574
Allemagne;Europe;1999;1990;2.75386483983618;0.5926863642568768;2.0188975613830475;2.095783732994452;2.772029029608877;4.019079453473893;-0.1204538672184134;0.1834117729941233
Allemagne;Europe;2000;2000;2.9461574907254873;0.5593515670017866;2.0483076086898078;2.1046587668288206;3.2112447796920067;3.8507755308497726;-0.12368306301022669;0.18916460996585632
Allemagne;Europe;2001;2000;2.9700540643910838;0.5484833005223794;2.120676929538515;2.04703339527625;3.17417017041531;4.195522345955113;-0.11049717222070181;0.18866255153765785
Allemagne;Europe;2002;2000;3.034823182841469;0.39436814880909615;2.050156240090494;2.097532918694075;3.0886280743197343;3.572404404286477;-0.09651182762284215;0.18763618574970306
Allemagne;Europe;2003;2000;3.103713530409515;0.4994300493272286;3.854034988920629;2.3211091857648363;3.03782002041677;3.8087278680188583;-0.08400778535203005;0.1846990345812434
Allemagne;Europe;2004;2000;3.0709039549190114;0.4451981223298221;3.9140151683449242;2.3417644000831657;3.0663281194537966;4.21486593728173;-0.07295747217882245;0.18516000309105848
